"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850.505136933056","888.997527775442","937.573187795007","983.451262519156","1021.43108892373","1073.10436587736","1118.10112578419","1163.61727695224","1212.18822440359","1261.3446181521","1331.54842861048","1403.12621854246","1453.26225725918","1523.79747808748","1620.42505311916","1753.87460797871","1901.71670067808","2065.15477333591","2206.51037075368","2309.56363735967","2439.06962718124","2620.83379040873","2937.6287981042","3143.58550275239","3368.05616403141","3555.50525970603","3848.95766369191","4160.70332471531","4547.47957161937","4954.7614000529","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7532.98417067955","7200.99825498979","6903.21739876203","7017.92747406968","7322.92342475676","7724.25711019554","6831.99424443104","5748.4193421603","6177.42265961447","5807.81396486046","6424.75575422061","6961.97276833489","7786.41700228371","8408.3560217176","9193.83105986015","10291.4533855198","11392.8766197617","12795.8412484357","14335.6690235298","14191.5715073501","14879.2670141409","15667.3081208607","16247.4904781752","16588.9333463683","17561.382132399","18343.1107773187","20019.5912818443","21387.2766420381","22911.2983540279","24579.2165450171","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26875.8134694187","30066.1451233635","31973.1352238378","36038.4971222482","35822.3011239632","37059.4494805987","38273.1190673378","39039.8972345777","40105.0411441848","40910.717381933","42181.9060430048","42094.5814216923","41932.5835516097","42860.4822233235","44185.3385399123","45400.8527009258","46200.6358641054","47532.8591584055","47847.6152454812","46498.8434018951","46872.9477813149","47377.4983094697","50675.6210184322","51494.4117178119","51101.9770222914","45575.7835718316","44768.9709139461","47709.7780156397","47309.7095539899","47087.5448212889","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19604.0612004638","19063.8567884586","18398.4494311666","18541.2713767186","19194.7478702389","20139.2182552858","21088.0467139577","22656.7436988142","23725.1344452691","26685.3365014797","28034.2488163007","28956.9495240371","29715.750720295","29363.1767180218","29869.4620663989","31261.8318964172","32401.6863715669","33117.6668548952","32373.5530400151","30728.8754194076","31090.6396478899","31522.0790403838","32216.6977983187","31873.0108467838","33154.7205490089","33424.2446640741","34154.9814490258","36298.4480017563","37908.8381385227","38669.3350131335","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953.187511276745","1208.59235525026","2365.47012072971","3258.30019693958","3810.75533701533","4226.68599234042","4549.32962366462","4751.15860254274","5136.52432904621","5373.57235002234","6201.10791309344","6479.66270733728","7404.1149074409","8186.56918271762","9028.82588727254","9035.26423872201","9355.42722675256","9976.45971274673","10304.0791254154","11016.5604302948","11433.2159257779","12010.7123648982","13072.1322301285","13753.8320539223","14916.7943797238","15817.1021272869","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5232.07829276373","5341.48526250627","4928.10880010047","4650.98823695065","4199.44034476031","3854.03197589176","4047.99073080981","4606.71959103781","5073.96192831525","5344.6582135647","5808.35742587087","6248.21138224153","6709.84550284634","7367.19377907469","8489.48408699124","9642.42979250313","10994.7667382994","12317.4565015173","13885.7467207654","14050.880309261","15349.2281344976","16543.0437300092","18071.5055962673","18948.4684736964","18955.907025082","18041.2425036167","17725.7521791512","18280.1989190642","19338.6664376772","19683.8340871752","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3334.95229650479","3770.9618017261","4248.44305406666","4544.831686993","4555.42022803154","4562.5390085365","4564.85804151685","4636.51102502907","4681.77528425959","4978.74800410998","5558.67563735555","5765.77695988905","5962.15472483666","6466.71726354265","6780.81233491296","6941.84628382599","7303.68114448813","7347.03795160518","7554.55750857538","7438.67890380289","7563.82852866725","7684.84089265981","7272.84849738482","7227.16207052236","7170.52946398798","7244.53158013488","7179.48180733253","7108.75319295171","7262.73209831844","7166.26645194717","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30763.1498140579","30837.968332776","31751.067401257","33302.1951732525","33980.7732633512","35961.2504217465","37332.678569827","39481.7214320139","41179.6268720453","42946.2470235242","47571.7396035128","51566.7978509591","51273.666206133","53654.9083975507","56011.3469274806","58344.071011061","71580.6220719766","75534.9776006507","75121.6481270249","71040.1736780952","70620.0806836706","69998.8434204712","67453.8205236015","68993.2274876771","68775.4467426718","71873.2280578182","76362.0514142141","81834.9558735543","83377.0646748086","85263.7630031759","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2374.67895778051","2530.23726212309","2575.60536083557","2692.07379708859","2818.55874377999","2950.81498164336","3072.63533856694","3215.09303876873","3347.60994056928","3344.2285406188","3437.61642399839","3504.73637571894","3580.81433113724","3677.63997210597","3863.45201685344","4086.37610356611","4335.38171291302","4575.66423240119","4868.44263563914","4986.45790870177","5167.11031338567","5460.25705795265","5921.64890711782","6624.80592182792","7056.82836431613","7133.87314496226","7499.77274089787","8423.69755843668","8863.34917438002","9093.43165852891","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6701.20895431895","6909.92192842358","6915.31261200444","7287.07503128084","7712.67162529916","8090.89034989868","8288.1792519133","8582.06743277389","8575.87335640545","8611.90027993696","9060.78645123681","9260.76611619785","9568.06368751792","9733.77092355656","10445.3446240145","10988.9583886751","11642.4441322339","12549.9278491047","13312.7634156723","13269.1187769759","14299.5515511075","15040.0576497945","15046.2901818178","15588.7261289148","15718.5649500141","14744.1136344696","14256.163385421","14519.8495494285","14773.8950111371","15076.40345226","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9579.78615986254","9481.93857173521","9111.93658685117","9366.91757252544","9721.5803558791","10084.8913608638","10634.2513112528","11282.3994233985","11784.2040669881","11944.635696516","12705.1228737181","12630.94303922","12887.8262164847","13368.3499351522","13873.8960912826","14816.1172972448","16098.2105334943","16820.353282898","17190.9462185782","16374.5150748113","16127.8113837512","16304.3824246065","15310.1139268025","15334.8282457896","15175.4956415237","15510.6612056616","15951.9586760888","15789.0411622149","16051.2558119276","16300.422208391","",
